sku,description,ean,url,brand,title,image_urls,currency,mfr,current_price,price
276490,SJCAM SJ5000 Plus WiFi Full HD Sports Camera Features,5055887324041,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-blue-276490/,SJCAM,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,http://i1.expansys.com/img/b/276490/sjcam-sj5000-plus-full-hd-sports-camera.jpg,,AP_AP_SJCAMSJ5000+_BU,,
285274,Xiaomi Mi 4i Dual SIM Features,6954176809803,http://www.expansys.com.sg/xiaomi-mi-4i-dual-sim-unlocked-32gb-dark-grey-285274/,Xiaomi,Xiaomi Mi 4i Dual SIM ,http://i1.expansys.com/img/b/285274/xiaomi-mi-4i-dual-sim.jpg,SGD,AP_MI4I_32_GRY,SG$329.99,SG$329.99
283241,Monster SuperStar BackFloat Waterproof Bluetooth Speaker Features,050644734991,http://www.expansys.com.sg/monster-superstar-backfloat-waterproof-bluetooth-speaker-neon-blue-283241/,Monster,Monster SuperStar BackFloat Waterproof Bluetooth Speaker ,http://i1.expansys.com/img/b/283241/monster-superstar-backfloat-waterproof-bluetooth-speaker.jpg,SGD,129278-00,SG$200.99,SG$200.99
283238,Monster SuperStar Bluetooth Speaker / Speakerphone Features,050644720109,http://www.expansys.com.sg/monster-superstar-bluetooth-speaker-speakerphone-neon-pink-283238/,Monster,Monster SuperStar Bluetooth Speaker / Speakerphone ,http://i2.expansys.com/img/b/283238/monster-superstar-bluetooth-speaker-speakerphone.jpg,SGD,129263-00,SG$138.99,SG$138.99
287757,Samsung Galaxy A9 (2016) Dual-SIM SM-A9000 Features,8806088211473,http://www.expansys.com.sg/samsung-galaxy-a9-2016-dual-sim-sm-a9000-unlocked-32gb-pink-gold-287757/,Samsung,Samsung Galaxy A9 (2016) Dual-SIM SM-A9000 ,http://i2.expansys.com/img/b/287757/samsung-galaxy-a9-2016-dual-sim-sm-a9000.jpg,SGD,AP_SM-A9000EDATGY,SG$699.99,SG$699.99
285211,LG V10 Dual-SIM H961N Features,8806084998859,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-space-black-285211/,LG,LG V10 Dual-SIM H961N ,http://i1.expansys.com/img/b/285211/lg-v10-dual-sim-h961n.jpg,SGD,AP_H961N_SPC_BLK,SG$925.57,SG$925.57
287116,LG V10 Dual-SIM H961N Features,8806084998866,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-ocean-blue-287116/,LG,LG V10 Dual-SIM H961N ,http://i2.expansys.com/img/b/287116/lg-v10-dual-sim-h961n.jpg,SGD,AP_H961N_BLU,SG$929.99,SG$929.99
286638,Microsoft Lumia 950 RM-1104 Features,6438158745766,http://www.expansys.com.sg/microsoft-lumia-950-rm-1104-unlocked-32gb-black-286638/,Microsoft,Microsoft Lumia 950 RM-1104 ,http://i2.expansys.com/img/b/286638/microsoft-lumia-950-rm-1104.jpg,SGD,AP_RM-1104_BLK,SG$754.99,SG$754.99
285868,Google Nexus 6P H1512 Features,6901443077120,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-32gb-graphite-grey-285868/,Google,Google Nexus 6P H1512 ,http://i2.expansys.com/img/b/285868/google-nexus-6p-h1512.jpg,SGD,AP_H1512_32BLK,SG$809.99,SG$809.99
284512,Meizu m2 note M571H Dual-SIM Features,6937520006981,http://www.expansys.com.sg/meizu-m2-note-m571h-dual-sim-unlocked-16gb-grey-284512/,Meizu,Meizu m2 note M571H Dual-SIM ,http://i1.expansys.com/img/b/284512/meizu-m2-note-m571h-dual-sim.jpg,SGD,AP_M571H_GRY,SG$264.99,SG$264.99
288133,LG G5 Features,AP_H850_GLD,http://www.expansys.com.sg/lg-g5-unlocked-32gb-gold-288133/,,LG G5 ,http://i1.expansys.com/img/b/288133/lg-g5.jpg,,,,
288131,LG G5 Features,AP_H850_SLV,http://www.expansys.com.sg/lg-g5-unlocked-32gb-silver-288131/,,LG G5 ,http://i1.expansys.com/img/b/288131/lg-g5.jpg,,,,
285965,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL Features",4712900129984,http://www.expansys.com.sg/asus-zenfone-2-laser-6-dual-sim-ze601kl-unlocked-32gb-glacier-gray-285965/,,"ASUS ZenFone 2 Laser 6"" Dual-SIM ZE601KL ",http://i2.expansys.com/img/b/285965/asus-zenfone-2-laser-6-dual-sim-ze601kl.jpg,SGD,889349129982,SG$409.99,SG$409.99
282293,ASUS Zenfone 2 Laser Dual SIM ZE550KL Features,4712900138511,http://www.expansys.com.sg/asus-zenfone-2-laser-dual-sim-ze550kl-unlocked-lte-16gb-black-282293/,,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,http://i1.expansys.com/img/b/282293/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,SGD,889349138519,SG$264.99,SG$264.99
285891,Google Nexus 6P H1512 Features,6901443077113,http://www.expansys.com.sg/google-nexus-6p-h1512-unlocked-32gb-aluminium-silver-285891/,Google,Google Nexus 6P H1512 ,http://i1.expansys.com/img/b/285891/google-nexus-6p-h1512.jpg,SGD,AP_H1512_32SLV,SG$809.99,SG$809.99
285219,LG V10 Dual-SIM H961N Features,8806084998897,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-luxe-white-285219/,LG,LG V10 Dual-SIM H961N ,http://i2.expansys.com/img/b/285219/lg-v10-dual-sim-h961n.jpg,SGD,AP_H961N_WHT,SG$925.57,SG$925.57
254452,Philips ActionFit SHQ3200 Sports Earhook Headphones Features,AP_SHQ3200_OR,http://www.expansys.com.sg/philips-actionfit-shq3200-in-ear-headphones-254452/,,Philips ActionFit SHQ3200 Sports Earhook Headphones ,http://i1.expansys.com/img/b/254452/philips-actionfit-shq3200-in-ear-headphones.jpg,SGD,,SG$37.97,SG$37.97
254374,Denon AH-D310 Over-Ear Headphones Features,AP_AHD310,http://www.expansys.com.sg/denon-ah-d310-over-ear-headphones-254374/,,Denon AH-D310 Over-Ear Headphones,http://i1.expansys.com/img/b/254374/denon-ah-d310-over-ear-headphones.jpg,SGD,,SG$54.32,SG$54.32
280289,HTC Desire EYE M910n - EMEA version Features,4718487661657,http://www.expansys.com.sg/htc-desire-eye-m910n-emea-version-unlocked-lte-16gb-blue-280289/,HTC,HTC Desire EYE M910n - EMEA version ,http://i2.expansys.com/img/b/280289/htc-desire-eye-m910n-emea-version.jpg,SGD,AP_HTC_DesireEye_16GB_BLUM910n,SG$489.99,SG$489.99
276502,Microsoft Lumia 430 Dual SIM RM-1099 Features,6438158722705,http://www.expansys.com.sg/microsoft-lumia-430-dual-sim-unlocked-8gb-black-276502/,Microsoft,Microsoft Lumia 430 Dual SIM RM-1099 ,http://i1.expansys.com/img/b/276502/microsoft-lumia-430-dual-sim.jpg,SGD,AP_LUMIA430_BLK,SG$117.99,SG$117.99
288276,Sony Xperia XA Features,AP_F3115_RSG,http://www.expansys.com.sg/sony-xperia-xa-unlocked-16gb-rose-gold-288276/,,Sony Xperia XA ,http://i2.expansys.com/img/b/288276/sony-xperia-xa.jpg,,,,
287363,Samsung Galaxy A7 (2016) Dual-SIM SM-A7100 Features,8806088181516,http://www.expansys.com.sg/samsung-galaxy-a7-dual-sim-sm-a7100-unlocked-16gb-pink-gold-287363/,Samsung,Samsung Galaxy A7 (2016) Dual-SIM SM-A7100 ,http://i1.expansys.com/img/b/287363/samsung-galaxy-a7-dual-sim-sm-a7100.jpg,SGD,AP_A7100_2016_16GB_PNK,SG$544.99,SG$544.99
287225,B-Stock Motorola MOTO G (3rd Gen.) XT1541 Features,AP_B-Stock_282222,http://www.expansys.com.sg/b-stock-motorola-moto-g-3rd-gen-xt1541-unlocked-lte-8gb-white-open-box-287225/,,B-Stock Motorola MOTO G (3rd Gen.) XT1541 ,http://i2.expansys.com/img/b/287225/b-stock-motorola-moto-g-3rd-gen-xt1541.jpg,SGD,,SG$246.13,SG$246.13
282089,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML Features,4712900153378,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-64gb-white-282089/,,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,http://i2.expansys.com/img/b/282089/asus-zenfone-2-deluxe-dual-sim-ze551ml.jpg,SGD,889349153376,SG$444.99,SG$444.99
